City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
7,Kruisfontein,ZA,71.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
8,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,South Daytona,US,77.09,few clouds,29.1658,-81.0045,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
10,Port Blair,IN,80.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
11,Isangel,VU,78.13,broken clouds,-19.55,169.2667,Tanna Lodge
13,Dhidhdhoo,MV,82.33,few clouds,6.8833,73.1,Dhidhoo beach
14,Port Elizabeth,ZA,74.1,clear sky,-33.918,25.5701,39 On Nile Guest House
15,Biloela,AU,71.56,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
18,Sulangan,PH,81.32,overcast clouds,11.1373,123.7228,Maia's Beach Resort
28,Kabompo,ZM,78.66,overcast clouds,-13.5927,24.2008,Big Tree
29,Conceicao Da Barra,BR,79.99,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
31,Rikitea,PF,76.03,clear sky,-23.1203,-134.9692,People ThankYou
32,Pran Buri,TH,81.99,overcast clouds,12.3847,99.9098,Waterside Resort
35,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Richards Bay,ZA,75.83,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
39,Banda Aceh,ID,78.66,broken clouds,5.5577,95.3222,Sulthan Hotel International
43,Hilo,US,74.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Arraial Do Cabo,BR,82.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Kapaa,US,77.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Mahibadhoo,MV,82.2,scattered clouds,3.7833,72.9667,Omadhoo Inn
56,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Labuan,MY,80.11,few clouds,5.2767,115.2417,Tiara Labuan Hotel
