,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Neepawa,50.2289,-99.4664,36.0,83,100,24.94,CA,overcast clouds
1,Portland,45.5234,-122.6762,55.38,94,75,3.0,US,mist
2,Bredasdorp,-34.5322,20.0403,63.28,68,94,12.39,ZA,overcast clouds
3,Yulara,-25.2406,130.9889,84.04,17,0,10.36,AU,clear sky
4,Punta Arenas,-53.15,-70.9167,55.51,41,40,16.11,CL,scattered clouds
5,Provideniya,64.3833,-173.3,-3.48,66,0,5.03,RU,clear sky
6,Saldanha,-33.0117,17.9442,62.42,77,49,24.67,ZA,scattered clouds
7,Kruisfontein,-34.0033,24.7314,71.89,84,6,6.69,ZA,light rain
8,Puerto Ayora,-0.7393,-90.3518,76.96,76,78,8.86,EC,broken clouds
9,South Daytona,29.1658,-81.0045,77.09,55,20,6.91,US,few clouds
10,Port Blair,11.6667,92.75,80.24,84,100,22.53,IN,moderate rain
11,Isangel,-19.55,169.2667,78.13,85,55,10.78,VU,broken clouds
12,Busselton,-33.65,115.3333,51.08,88,0,9.4,AU,clear sky
13,Dhidhdhoo,6.8833,73.1,82.33,77,15,8.25,MV,few clouds
14,Port Elizabeth,-33.918,25.5701,74.1,73,0,16.11,ZA,clear sky
15,Biloela,-24.4167,150.5,71.56,87,0,3.38,AU,clear sky
16,Chlorakas,34.8042,32.4083,61.68,51,90,23.02,CY,overcast clouds
17,Svobodnyy,51.4,128.1333,-8.63,97,35,3.53,RU,scattered clouds
18,Sulangan,11.1373,123.7228,81.32,82,100,10.22,PH,overcast clouds
19,Torbay,47.6666,-52.7314,42.76,70,75,14.97,CA,broken clouds
20,Susanville,40.4163,-120.653,26.11,59,10,2.77,US,clear sky
21,Naze,28.3667,129.4833,56.43,71,99,18.16,JP,overcast clouds
22,Platteville,42.7342,-90.4785,49.14,87,1,16.11,US,clear sky
23,Mubende,0.5606,31.39,64.69,82,98,1.39,UG,overcast clouds
24,Mount Gambier,-37.8333,140.7667,55.31,100,90,8.05,AU,overcast clouds
25,Geraldton,-28.7667,114.6,63.01,67,90,16.11,AU,overcast clouds
26,Hermanus,-34.4187,19.2345,64.9,73,85,13.4,ZA,overcast clouds
27,Tiksi,71.6872,128.8694,-24.39,99,98,5.39,RU,overcast clouds
28,Kabompo,-13.5927,24.2008,78.66,39,100,4.34,ZM,overcast clouds
29,Conceicao Da Barra,-18.5933,-39.7322,79.99,86,100,1.74,BR,overcast clouds
30,Perth,-31.9333,115.8333,60.67,76,0,11.5,AU,clear sky
31,Rikitea,-23.1203,-134.9692,76.03,70,1,19.3,PF,clear sky
32,Pran Buri,12.3847,99.9098,81.99,52,91,13.15,TH,overcast clouds
33,Mataura,-46.1927,168.8643,49.48,99,26,2.15,NZ,scattered clouds
34,Seguela,7.9611,-6.6731,91.94,34,79,2.19,CI,broken clouds
35,Vaini,-21.2,-175.2,75.36,88,75,9.22,TO,broken clouds
36,Jieshi,22.8134,115.8257,57.38,48,11,10.85,CN,few clouds
37,Richards Bay,-28.783,32.0377,75.83,79,4,12.35,ZA,clear sky
38,Krasnoselkup,65.7,82.4667,-1.91,95,100,14.79,RU,overcast clouds
39,Banda Aceh,5.5577,95.3222,78.66,82,52,10.04,ID,broken clouds
40,Taikang,46.8333,124.4167,16.16,83,86,14.07,CN,overcast clouds
41,Norman Wells,65.282,-126.8329,-25.56,68,75,6.91,CA,light snow
42,Tuktoyaktuk,69.4541,-133.0374,-27.4,68,1,2.3,CA,clear sky
43,Hilo,19.7297,-155.09,74.28,88,75,0.0,US,broken clouds
44,Arraial Do Cabo,-22.9661,-42.0278,82.36,78,20,11.5,BR,few clouds
45,Qaanaaq,77.484,-69.3632,9.82,84,100,4.12,GL,overcast clouds
46,Akhtanizovskaya,45.32,37.1,43.27,73,99,19.73,RU,overcast clouds
47,Evensk,61.95,159.2333,-12.15,81,94,10.33,RU,overcast clouds
48,Kapaa,22.0752,-159.319,77.32,84,40,1.99,US,light rain
49,Vermilion,40.1667,-87.7506,47.57,91,75,10.0,US,broken clouds
50,Hami,42.8,93.45,26.46,58,3,2.37,CN,clear sky
51,Matay,28.419,30.7792,66.11,48,95,13.13,EG,overcast clouds
52,Aasiaat,68.7098,-52.8699,27.88,79,100,11.1,GL,overcast clouds
53,Upernavik,72.7868,-56.1549,22.08,67,100,4.56,GL,overcast clouds
54,Mahibadhoo,3.7833,72.9667,82.2,78,48,7.83,MV,scattered clouds
55,Albany,42.6001,-73.9662,43.09,69,99,1.99,US,overcast clouds
56,Saint-Philippe,-21.3585,55.7679,76.59,74,8,10.8,RE,clear sky
57,Alice Springs,-23.7,133.8833,67.55,56,0,0.0,AU,clear sky
58,Labuan,5.2767,115.2417,80.11,88,20,1.01,MY,few clouds
59,Itarema,-2.9248,-39.9167,88.75,57,76,15.5,BR,broken clouds
60,Cabedelo,-6.9811,-34.8339,88.47,61,67,12.66,BR,broken clouds
61,Mahebourg,-20.4081,57.7,79.09,78,75,8.05,MU,light rain
62,Seoul,37.5683,126.9778,29.64,68,0,1.14,KR,clear sky
63,Atuona,-9.8,-139.0333,78.4,78,35,23.64,PF,light rain
64,Kiama,-34.6833,150.8667,65.68,88,4,5.75,AU,clear sky
65,Chirongui,-12.9319,45.1483,80.53,71,9,1.5,YT,clear sky
66,Kaeo,-35.1,173.7833,61.32,93,100,2.93,NZ,overcast clouds
67,Yellowknife,62.456,-114.3525,-7.58,88,90,3.0,CA,mist
68,Laguna,38.421,-121.4238,68.02,94,1,0.0,US,mist
69,Ushuaia,-54.8,-68.3,53.22,50,75,12.66,AR,broken clouds
70,Les Cayes,18.2,-73.75,85.39,60,30,3.62,HT,scattered clouds
71,Road Town,18.4167,-64.6167,84.29,65,40,10.36,VG,scattered clouds
72,Umred,20.85,79.3333,64.69,45,27,4.27,IN,scattered clouds
73,Xingcheng,40.6167,120.7167,33.01,46,0,10.18,CN,clear sky
74,Shingu,33.7333,135.9833,42.48,63,6,12.33,JP,clear sky
75,Luwingu,-10.2621,29.9271,73.49,46,56,2.57,ZM,broken clouds
76,Maragogi,-9.0122,-35.2225,84.97,57,86,12.46,BR,overcast clouds
77,Kedrovyy,56.1667,91.8167,28.81,83,100,6.46,RU,overcast clouds
78,Pevek,69.7008,170.3133,-3.15,96,100,7.72,RU,light snow
79,Guilin,25.2819,110.2864,44.71,59,33,4.74,CN,scattered clouds
80,Chimbote,-9.0853,-78.5783,71.4,72,82,9.95,PE,broken clouds
81,Kontagora,10.3999,5.4695,87.91,16,98,3.53,NG,overcast clouds
82,Cape Town,-33.9258,18.4232,67.08,58,20,25.32,ZA,few clouds
83,Mar Del Plata,-38.0023,-57.5575,64.42,81,0,13.0,AR,clear sky
84,Mount Isa,-20.7333,139.5,80.37,19,1,6.91,AU,light rain
